fishID,left2,right2,left3,right3,left3Other,right3Other,registrationUseful,notes
E57,no,no,weak,yes,no,no,yes,
E58,no,no,no,no,no,no,yes,
E59,yes,no,yes,yes,yes,yes,no,does not register well
E60,no,yes,no,yes,no,no,yes,
E61,no,no,no,yes,yes,yes,yes,
E62,no,no,no,yes,no,no,yes,
E63,no,no,yes,yes,no,yes,yes,better registration after cropping
E64,no,no,yes,no,no,no,yes,
E65,yes,no,no,no,no,maybe,yes,
E66,no,no,yes,yes,yes,no,yes,
E67,yes,no,yes,no,yes,yes,yes,
E68,no,no,yes,no,yes,no,yes,
E69,no,no,yes,no,no,yes,yes,better registration after cropping
E70,yes,no,no,yes,yes,yes,yes,
E71,yes,no,yes,yes,yes,no,yes,mid2cm_left is the more dorsal cell of the pair in this animal
E72,yes,no,yes,yes,no,no,yes,
E73,no,no,yes,yes,no,no,yes,
E74,no,yes,yes,no,yes,no,yes,
E75,no,no,yes,yes,no,no,yes,
E76,no,no,yes,no,no,no,yes,mid3cm_left does not appear to be the most dorsolater neuron in this animal
E77,no,no,no,yes,no,no,yes,
E78,no,no,yes,no,no,no,yes,
E79,no,no,yes,no,no,yes,yes,better registration after cropping
E80,no,no,yes,yes,no,no,yes,
E81,no,yes,yes,no,no,yes,yes,
E82,no,no,yes,yes,no,no,yes,
E83,no,no,yes,no,no,no,yes,
E84,no,no,yes,no,no,yes,yes,
E85,yes,no,yes,yes,yes,yes,yes,mid3cm_right is the most caudal and equally dorsal of the three cells and pedro says it looks like the correct shape
E86,yes,yes,yes,yes,yes,yes,no,
